episode,avg_reward
5,15.5
6,14.8
7,15.5
8,15.142857142857142
9,19.125
10,20.666666666666668
11,19.9
12,20.0
13,19.833333333333332
14,19.46153846153846
15,18.714285714285715
16,18.533333333333335
17,18.1875
18,21.41176470588235
19,21.666666666666668
20,21.210526315789473
21,20.8
22,20.61904761904762
23,20.363636363636363
24,20.130434782608695
25,19.916666666666668
26,19.96
27,19.53846153846154
28,22.074074074074073
29,22.857142857142858
30,22.724137931034484
31,22.533333333333335
32,22.193548387096776
33,22.3125
34,22.515151515151516
35,22.294117647058822
36,22.685714285714287
37,22.666666666666668
38,22.54054054054054
39,22.5
40,23.358974358974358
41,23.05
42,23.70731707317073
43,23.428571428571427
44,25.25581395348837
45,25.045454545454547
46,24.755555555555556
47,24.456521739130434
48,24.23404255319149
49,25.3125
50,25.142857142857142
51,25.02
52,24.705882352941178
53,24.557692307692307
54,25.9811320754717
55,26.38888888888889
56,27.072727272727274
57,27.75
58,28.56140350877193
59,28.74137931034483
60,28.779661016949152
61,29.766666666666666
62,30.57377049180328
63,31.274193548387096
64,31.047619047619047
65,31.046875
66,31.553846153846155
67,31.924242424242426
68,31.62686567164179
69,32.0
70,31.768115942028984
71,31.814285714285713
72,31.802816901408452
73,32.916666666666664
74,33.35616438356164
75,33.229729729729726
76,33.46666666666667
77,33.53947368421053
78,34.27272727272727
79,34.05128205128205
80,34.151898734177216
81,34.15
82,33.98765432098765
83,33.853658536585364
84,33.93975903614458
85,33.785714285714285
86,33.98823529411764
87,34.13953488372093
88,33.97701149425287
89,35.02272727272727
90,35.258426966292134
91,37.233333333333334
92,37.010989010989015
93,36.97826086956522
94,37.61290322580645
95,37.861702127659576
96,37.76842105263158
97,37.90625
98,38.4639175257732
99,38.326530612244895
100,38.82828282828283
101,39.08
102,41.0
103,41.08
104,41.4
105,41.79
106,42.58
107,42.55
108,42.66
109,42.39
110,43.01
111,43.05
112,44.43
113,44.57
114,45.44
115,45.5
116,45.47
117,45.96
118,45.47
119,46.88
120,47.2
121,47.86
122,49.04
123,49.11
124,49.21
125,50.31
126,50.58
127,51.18
128,50.74
129,52.41
130,53.36
131,53.82
132,53.86
133,54.16
134,54.29
135,55.75
136,55.8
137,56.12
138,56.95
139,57.87
140,57.97
141,58.55
142,58.59
143,59.56
144,59.76
145,61.02
146,61.29
147,62.25
148,62.39
149,64.43
150,64.66
151,66.04
152,66.51
153,66.96
154,66.27
155,67.13
156,67.3
157,66.87
158,66.93
159,66.79
160,68.6
161,68.75
162,68.24
163,68.01
164,68.84
165,69.07
166,69.13
167,69.42
168,73.74
169,73.87
170,73.98
171,75.19
172,75.36
173,74.46
174,75.31
175,75.22
176,74.91
177,74.76
178,74.24
179,74.34
180,74.35
181,74.18
182,77.35
183,77.25
184,78.26
185,78.74
186,78.35
187,78.44
188,78.39
189,77.34
190,76.95
191,75.47
192,75.46
193,75.68
194,74.98
195,74.56
196,74.71
197,74.37
198,74.95
199,75.45
200,74.94
201,75.84
202,74.11
203,77.54
204,78.38
205,78.09
206,78.37
207,78.84
208,78.79
209,78.78
210,78.04
211,79.72
212,78.33
213,78.17
214,79.62
215,81.61
216,81.61
217,81.11
218,83.17
219,82.09
220,82.87
221,82.36
222,82.04
223,82.87
224,83.1
225,82.2
226,81.88
227,82.39
228,82.2
229,81.49
230,80.65
231,80.13
232,80.2
233,79.8
234,79.83
235,80.2
236,80.92
237,81.94
238,81.46
239,80.61
240,80.1
241,79.73
242,79.57
243,83.48
244,83.56
245,82.45
246,82.19
247,83.67
248,83.89
249,81.21
250,82.52
251,82.96
252,84.05
253,83.99
254,84.74
255,84.47
256,86.97
257,88.2
258,87.55
259,88.14
260,87.18
261,86.66
262,86.53
263,87.45
264,86.83
265,86.85
266,86.27
267,86.58
268,82.72
269,83.42
270,84.13
271,83.52
272,83.16
273,83.14
274,81.76
275,81.74
276,82.55
277,83.52
278,83.74
279,83.63
280,83.35
281,83.33
282,80.09
283,81.01
284,79.91
285,80.68
286,80.65
287,81.18
288,82.04
289,81.94
290,81.89
291,82.31
292,82.27
293,81.85
294,82.62
295,82.56
296,82.93
297,82.95
298,82.47
299,82.65
300,83.24
301,81.83
302,81.95
303,78.46
304,78.21
305,79.01
306,79.72
307,79.48
308,79.73
309,79.65
310,80.62
311,78.89
312,79.97
313,79.97
314,78.8
315,76.96
316,77.45
317,77.51
318,76.75
319,76.38
320,75.33
321,75.18
322,74.88
323,75.67
324,76.85
325,77.84
326,80.75
327,81.56
328,85.38
329,84.11
330,86.69
331,90.56
332,90.47
333,90.42
334,93.49
335,96.51
336,99.12
337,99.92
338,101.01
339,103.6
340,103.56
341,106.71
342,108.99
343,105.62
344,109.32
345,112.96
346,116.42
347,118.03
348,118.77
349,123.65
350,126.18
351,125.26
352,124.04
353,124.57
354,124.64
355,124.68
356,122.55
357,122.22
358,123.27
359,122.57
360,122.5
361,123.11
362,124.12
363,123.98
364,124.9
365,125.59
366,126.67
367,126.69
368,127.23
369,126.97
370,127.18
371,128.82
372,128.89
373,130.04
374,131.63
375,131.67
376,132.68
377,134.36
378,135.19
379,136.68
380,138.44
381,138.47
382,139.9
383,140.44
384,141.76
385,141.76
386,143.31
387,143.53
388,143.3
389,144.62
390,145.94
391,146.04
392,148.13
393,150.09
394,150.74
395,152.53
396,153.22
397,154.91
398,155.33
399,155.92
400,156.52
401,158.34
402,160.26
403,163.65
404,164.61
405,165.79
406,164.39
407,166.46
408,169.17
409,170.9
410,170.54
411,170.68
412,171.3
413,172.7
414,173.5
415,174.89
416,175.86
417,177.22
418,177.23
419,177.25
420,177.24
421,180.03
422,181.93
423,182.37
424,183.35
425,183.06
426,181.28
427,181.04
428,177.39
429,178.36
430,176.5
431,172.72
432,173.58
433,176.97
434,174.46
435,169.97
436,168.41
437,167.56
438,166.88
439,164.14
440,166.03
441,163.62
442,161.31
443,164.43
444,160.49
445,157.54
446,155.08
447,152.01
448,151.92
449,148.42
450,144.36
451,146.81
452,147.54
453,149.43
454,149.36
455,149.45
456,148.49
457,150.13
458,150.33
459,152.83
460,153.09
461,154.73
462,154.64
463,154.54
464,153.91
465,153.96
466,154.06
467,154.19
468,153.22
469,153.19
470,153.24
471,151.82
472,152.78
473,152.49
474,151.86
475,152.84
476,150.95
477,149.17
478,148.86
479,148.3
480,147.47
481,147.52
482,147.0
483,146.58
484,146.0
485,145.49
486,144.95
487,144.73
488,145.12
489,143.97
490,143.7
491,143.69
492,142.12
493,141.31
494,140.78
495,140.02
496,138.65
497,137.9
498,137.7
499,137.38
500,137.16
501,136.41
502,135.24
503,132.92
504,132.34
505,131.43
506,132.25
507,131.01
508,129.04
509,128.43
510,128.8
511,129.83
512,129.31
513,129.06
514,128.29
515,128.04
516,127.75
517,127.46
518,127.19
519,128.06
520,129.09
521,127.69
522,126.72
523,126.51
524,125.37
525,124.49
526,124.7
527,123.13
528,123.02
529,123.35
530,123.8
531,125.0
532,125.18
533,123.26
534,123.62
535,124.46
536,122.67
537,122.52
538,123.03
539,124.34
540,123.75
541,124.13
542,125.2
543,121.84
544,122.11
545,122.56
546,122.74
547,123.1
548,123.36
549,123.26
550,124.47
551,122.25
552,122.49
553,120.74
554,121.0
555,121.24
556,122.38
557,120.83
558,120.73
559,119.48
560,119.47
561,118.16
562,118.47
563,118.67
564,119.56
565,119.69
566,119.71
567,118.55
568,119.91
569,120.25
570,120.39
571,120.77
572,120.75
573,121.2
574,121.28
575,121.46
576,121.46
577,121.29
578,120.29
579,120.23
580,120.14
581,121.43
582,120.67
583,120.79
584,119.91
585,120.32
586,120.65
587,120.95
588,121.9
589,123.78
590,124.22
591,124.74
592,125.61
593,126.0
594,126.32
595,126.79
596,128.03
597,128.59
598,129.07
599,129.42
600,129.64
601,128.6
602,128.97
603,129.57
604,132.5
605,132.99
606,134.38
607,135.16
608,137.33
609,137.74
610,138.37
611,139.37
612,139.96
613,141.1
614,141.59
615,142.08
616,142.66
617,143.58
618,142.69
619,141.96
620,140.91
621,142.38
622,143.76
623,144.67
624,148.17
625,150.53
626,151.63
627,151.82
628,153.64
629,154.99
630,157.2
631,158.59
632,160.11
633,161.28
634,162.49
635,163.46
636,165.54
637,166.49
638,167.72
639,169.18
640,168.03
641,168.65
642,169.23
643,169.23
644,168.34
645,168.56
646,169.19
647,169.67
648,169.94
649,168.69
650,168.66
651,170.22
652,171.87
653,173.22
654,174.85
655,177.04
656,178.47
657,179.86
658,181.22
659,182.71
660,184.11
661,183.08
662,183.95
663,184.44
664,184.64
665,185.15
666,185.89
667,187.97
668,188.38
669,188.81
670,188.9
671,189.19
672,190.21
673,190.58
674,191.33
675,191.79
676,193.68
677,194.87
678,196.6
679,197.45
680,198.45
681,199.75
682,202.43
683,204.34
684,207.27
685,208.87
686,211.52
687,213.19
688,213.73
689,214.57
690,215.82
691,216.16
692,216.71
693,217.06
694,217.65
695,218.11
696,216.91
697,217.24
698,217.44
699,217.9
700,218.28
701,220.6
702,221.64
703,222.32
704,220.84
705,221.54
706,221.7
707,222.28
708,221.43
709,223.09
710,224.33
711,225.14
712,226.2
713,227.49
714,228.78
715,230.04
716,232.68
717,230.99
718,235.13
719,239.47
720,243.56
721,242.58
722,241.86
723,241.37
724,238.92
725,238.91
726,238.61
727,240.78
728,238.95
729,236.42
730,235.22
731,236.86
732,239.1
733,240.96
734,242.16
735,244.35
736,246.33
737,248.88
738,250.49
739,251.61
740,256.35
741,259.29
742,262.29
743,265.9
744,270.46
745,273.79
746,276.85
747,279.92
748,281.6
749,286.45
750,290.09
751,292.21
752,294.16
753,296.58
754,298.63
755,300.0
756,302.21
757,299.85
758,302.19
759,304.31
760,303.1
761,303.82
762,304.74
763,304.09
764,307.33
765,310.39
766,313.33
767,316.1
768,315.48
769,318.6
770,318.49
771,317.7
772,316.5
773,315.63
774,314.73
775,313.92
776,313.41
777,312.24
778,311.56
779,310.62
780,309.61
781,307.74
782,305.66
783,303.32
784,300.98
785,298.84
786,294.9
787,292.41
788,290.27
789,287.8
790,285.55
791,284.18
792,282.3
793,281.04
794,279.43
795,277.93
796,278.58
797,277.35
798,275.7
799,274.42
800,273.27
801,271.65
802,270.01
803,268.32
804,266.37
805,264.75
806,262.72
807,261.11
808,259.55
809,257.12
810,255.0
811,252.84
812,250.61
