episode,avg_reward
0,14.0
1,16.5
2,17.0
3,15.5
4,15.8
5,19.833333333333332
6,19.0
7,18.875
8,19.333333333333332
9,18.6
10,19.636363636363637
11,20.666666666666668
12,20.0
13,19.357142857142858
14,18.733333333333334
15,18.5
16,18.0
17,17.833333333333332
18,17.68421052631579
19,17.6
20,17.238095238095237
21,17.136363636363637
22,16.82608695652174
23,16.75
24,16.88
25,16.615384615384617
26,16.85185185185185
27,17.0
28,17.0
29,17.166666666666668
30,17.032258064516128
31,16.9375
32,16.78787878787879
33,16.764705882352942
34,16.942857142857143
35,16.72222222222222
36,16.54054054054054
37,16.63157894736842
38,16.82051282051282
39,17.05
40,17.536585365853657
41,17.714285714285715
42,17.72093023255814
43,17.75
44,18.6
45,18.52173913043478
46,18.95744680851064
47,18.854166666666668
48,18.836734693877553
49,19.08
50,18.901960784313726
51,18.76923076923077
52,19.09433962264151
53,19.01851851851852
54,19.163636363636364
55,19.464285714285715
56,19.75438596491228
57,19.844827586206897
58,19.83050847457627
59,20.716666666666665
60,21.016393442622952
61,21.419354838709676
62,22.3015873015873
63,22.828125
64,22.93846153846154
65,23.545454545454547
66,23.70149253731343
67,23.602941176470587
68,23.63768115942029
69,23.771428571428572
70,24.070422535211268
71,24.444444444444443
72,24.78082191780822
73,25.41891891891892
74,26.52
75,26.92105263157895
76,27.207792207792206
77,27.602564102564102
78,28.0
79,28.025
80,28.395061728395063
81,28.536585365853657
82,28.80722891566265
83,28.833333333333332
84,28.894117647058824
85,28.988372093023255
86,29.03448275862069
87,29.0
88,29.651685393258425
89,30.044444444444444
90,30.175824175824175
91,30.902173913043477
92,31.344086021505376
93,31.54255319148936
94,31.473684210526315
95,31.541666666666668
96,31.742268041237114
97,31.867346938775512
98,32.42424242424242
99,32.67
100,33.69
101,34.36
102,37.07
103,37.49
104,37.71
105,37.75
106,38.33
107,39.17
108,39.12
109,39.81
110,39.91
111,40.16
112,40.95
113,41.35
114,41.44
115,42.11
116,42.77
117,43.17
118,44.21
119,44.69
120,46.03
121,46.3
122,47.1
123,48.8
124,48.94
125,49.26
126,49.49
127,49.94
128,50.26
129,50.49
130,51.23
131,51.61
132,52.05
133,52.21
134,52.31
135,52.96
136,53.3
137,53.32
138,53.6
139,53.94
140,54.56
141,54.9
142,56.09
143,56.61
144,56.36
145,58.02
146,61.22
147,62.69
148,64.23
149,64.55
150,66.3
151,68.07
152,68.11
153,69.18
154,71.0
155,71.58
156,72.59
157,73.82
158,74.89
159,75.24
160,76.94
161,78.63
162,79.56
163,80.63
164,82.19
165,83.47
166,85.58
167,87.63
168,89.64
169,90.7
170,92.47
171,93.35
172,94.15
173,94.51
174,94.84
175,95.1
176,96.03
177,96.85
178,97.61
179,98.86
180,99.59
181,101.57
182,103.19
183,105.47
184,108.22
185,111.35
186,115.09
187,118.67
188,121.5
189,123.82
190,123.57
191,124.01
192,125.56
193,127.54
194,128.78
195,129.65
196,130.48
197,131.61
198,132.73
199,133.86
200,133.22
201,133.79
202,132.3
203,133.28
204,134.77
205,136.78
206,138.85
207,141.02
208,142.6
209,144.9
210,148.69
211,151.3
212,154.14
213,157.55
214,158.5
215,159.12
216,161.5
217,164.15
218,165.43
219,166.68
220,167.36
221,168.89
222,170.15
223,170.18
224,171.14
225,172.85
226,174.44
227,175.63
228,177.35
229,179.34
230,180.39
231,181.67
232,182.43
233,183.34
234,184.16
235,184.49
236,184.98
237,185.94
238,185.66
239,186.2
240,186.29
241,186.89
242,185.7
243,186.15
244,186.92
245,186.24
246,183.77
247,183.36
248,181.84
249,181.4
250,179.88
251,178.18
252,178.01
253,178.15
254,176.43
255,176.47
256,175.96
257,175.46
258,175.36
259,175.32
260,174.21
261,173.3
262,171.72
263,171.37
264,169.87
265,169.4
266,168.06
267,166.79
268,165.74
269,165.41
270,164.52
271,164.55
272,164.97
273,165.57
274,164.45
275,165.99
276,167.56
277,166.42
278,167.88
279,169.47
280,170.09
281,171.24
282,172.52
283,173.16
284,173.39
285,174.89
286,174.99
287,176.15
288,177.45
289,179.48
290,184.08
291,187.5
292,189.12
293,190.6
294,192.08
295,194.04
296,195.45
297,196.73
298,197.07
299,197.73
300,199.87
301,200.74
302,202.15
303,203.57
304,203.9
305,203.88
306,203.19
307,202.5
308,203.26
309,202.22
310,200.4
311,200.17
312,200.14
313,199.32
314,201.34
315,204.13
316,205.61
317,206.96
318,209.27
319,211.37
320,213.96
321,216.45
322,219.29
323,222.12
324,225.02
325,227.79
326,230.21
327,231.98
328,233.89
329,235.51
330,237.69
331,240.03
332,243.18
333,245.85
334,248.61
335,251.94
336,254.71
337,257.06
338,260.3
339,262.4
340,264.83
341,266.12
342,268.46
343,269.43
344,270.98
345,271.93
346,272.6
347,273.24
348,274.87
349,276.42
350,277.94
351,279.4
352,280.81
353,281.08
354,282.26
355,283.19
356,283.76
357,284.23
358,284.58
359,285.02
360,285.62
361,285.56
362,286.73
363,286.74
364,287.66
365,287.44
366,287.48
367,287.59
368,287.25
369,287.0
370,286.46
371,285.75
372,285.07
373,284.17
374,284.55
375,283.0
376,280.9
377,281.49
378,279.34
379,276.95
380,275.62
381,272.82
382,270.17
383,267.73
384,264.94
385,260.51
386,257.33
387,253.35
388,249.27
389,245.24
390,241.53
391,237.65
392,234.82
393,231.9
394,230.0
395,227.8
396,226.22
397,224.3
398,223.04
399,221.73
400,220.38
401,219.27
402,217.78
403,216.39
404,215.69
405,215.06
406,214.74
407,213.96
408,213.62
409,213.29
410,212.87
411,211.9
412,209.97
413,208.97
414,208.24
415,206.27
416,203.58
417,201.11
418,198.21
419,196.07
420,193.27
421,190.92
422,188.14
423,185.56
424,183.38
425,180.31
426,178.08
427,176.75
428,174.88
429,173.54
430,171.92
431,169.96
432,167.74
433,166.32
434,165.22
435,163.49
436,162.59
437,162.3
438,162.54
439,163.0
440,163.35
441,164.86
442,167.16
443,169.46
444,171.68
445,174.6
446,176.98
447,178.93
448,181.94
449,184.96
450,188.11
451,191.46
452,194.82
453,197.97
454,201.42
455,204.51
456,208.08
457,211.63
458,215.12
459,218.58
460,221.8
461,225.1
462,228.62
463,232.33
464,235.24
465,238.51
466,242.36
467,246.3
468,250.42
469,254.56
470,257.55
471,261.71
472,264.98
473,268.57
474,271.98
475,275.41
476,278.32
477,282.47
478,286.37
479,289.79
480,294.19
481,298.3
482,301.99
483,305.92
484,309.37
485,312.47
486,314.88
487,317.21
488,319.49
489,321.49
490,323.55
491,325.1
492,326.43
493,327.95
494,329.4
495,330.59
496,331.59
497,333.1
498,334.5
499,335.86
500,336.86
501,338.08
502,338.91
503,339.91
504,341.07
505,341.97
506,342.53
507,343.24
508,343.9
509,344.58
510,345.48
511,346.06
512,346.94
513,347.55
514,347.93
515,348.65
516,349.28
517,350.25
518,351.15
519,352.32
520,353.99
521,355.11
522,356.22
523,356.75
524,357.53
525,358.91
526,359.57
527,360.31
528,361.15
529,361.25
530,361.75
531,363.0
532,364.37
533,365.09
534,366.53
535,367.53
536,368.1
537,369.49
538,369.84
539,371.14
540,371.35
541,372.36
542,372.54
543,373.11
544,373.26
545,373.26
546,374.09
547,375.3
548,375.46
549,375.7
550,375.37
551,375.37
552,375.37
553,375.53
554,375.53
555,375.22
556,374.7
557,374.02
558,372.9
559,372.2
560,371.86
561,372.38
562,372.39
563,372.39
564,373.2
565,373.71
566,373.71
567,373.71
568,373.71
569,373.76
570,374.98
571,375.11
572,375.81
573,376.44
574,377.36
575,378.11
576,379.31
577,379.31
578,379.75
579,380.58
580,380.58
581,380.74
582,381.29
583,381.57
584,382.59
585,383.92
586,385.52
587,387.17
588,388.97
589,391.0
590,392.88
591,395.38
592,397.99
593,400.28
594,402.13
595,404.19
596,406.86
597,408.86
598,411.24
599,413.83
600,416.52
601,419.11
602,421.96
603,424.42
604,426.75
605,429.05
606,431.71
607,434.28
608,436.44
609,439.02
610,441.17
611,443.61
612,445.94
613,448.23
614,449.44
615,449.82
616,450.41
617,450.39
618,450.95
619,450.7
620,450.06
621,449.92
622,449.26
623,449.38
624,449.13
625,448.53
626,448.33
627,447.86
628,447.35
629,447.12
630,446.52
631,445.63
632,444.24
633,443.71
634,441.96
635,440.92
636,440.27
637,438.3
638,436.87
639,434.29
640,432.6
641,429.85
642,426.9
643,424.02
644,420.93
645,417.82
646,414.72
647,411.54
648,408.3
649,404.97
650,402.13
651,398.88
652,395.66
653,392.45
654,389.18
655,386.14
656,383.27
657,380.68
658,378.38
659,375.87
660,373.16
661,369.81
662,366.76
663,363.42
664,360.02
665,356.69
666,353.36
667,350.11
668,346.89
669,343.57
670,340.37
671,337.2
672,333.95
673,331.0
674,328.03
675,325.12
676,322.28
677,319.46
678,316.66
679,313.96
680,311.31
681,308.83
682,306.31
683,303.93
684,301.74
685,299.47
686,297.06
687,295.1
688,293.17
689,291.53
690,289.67
691,288.14
692,286.76
693,285.71
694,285.3
695,285.05
696,284.28
697,283.93
698,282.91
699,281.98
700,281.24
701,280.7
702,280.7
703,280.7
704,280.7
705,280.7
706,280.7
707,280.7
708,280.7
709,280.7
710,280.7
711,280.7
712,280.7
713,280.7
714,281.68
715,283.32
716,285.17
717,287.14
718,288.8
719,291.03
720,293.09
721,295.02
722,297.35
723,299.57
724,302.02
725,304.41
726,306.71
727,309.15
728,311.57
729,313.98
730,316.6
731,319.06
732,321.83
733,324.16
734,326.66
735,329.03
736,331.31
737,333.65
738,336.01
739,338.59
740,341.21
741,343.96
742,346.91
743,349.79
744,352.88
745,355.99
746,359.09
747,362.27
748,365.51
749,368.84
750,372.01
751,375.26
752,378.48
753,381.75
754,385.02
755,386.61
756,390.0
757,393.27
758,396.69
759,399.96
760,403.21
761,406.56
762,409.7
763,412.63
764,415.13
765,417.74
766,419.8
767,421.71
768,423.5
769,424.95
770,426.85
771,428.42
772,430.11
773,431.97
