episode,avg_reward
0,14.0
1,30.0
2,25.5
3,26.625
4,26.3
5,25.0
6,23.857142857142858
7,22.9375
8,25.22222222222222
9,24.05
10,23.181818181818183
11,22.875
12,23.153846153846153
13,24.035714285714285
14,23.1
15,23.4375
16,24.147058823529413
17,25.27777777777778
18,25.05263157894737
19,24.975
20,24.5
21,24.113636363636363
22,24.195652173913043
23,24.041666666666668
24,23.6
25,23.28846153846154
26,22.98148148148148
27,23.553571428571427
28,23.896551724137932
29,24.65
30,24.70967741935484
31,24.53125
32,24.515151515151516
33,24.397058823529413
34,24.728571428571428
35,25.11111111111111
36,25.10810810810811
37,25.276315789473685
38,25.205128205128204
39,25.0625
40,25.195121951219512
41,25.452380952380953
42,25.488372093023255
43,25.272727272727273
44,25.677777777777777
45,25.793478260869566
46,26.414893617021278
47,26.395833333333332
48,27.836734693877553
49,28.49
50,28.392156862745097
51,28.192307692307693
52,28.38679245283019
53,28.23148148148148
54,28.1
55,27.982142857142858
56,28.114035087719298
57,28.310344827586206
58,28.805084745762713
59,29.0
60,29.311475409836067
61,29.45967741935484
62,29.76984126984127
63,30.09375
64,30.43846153846154
65,30.62878787878788
66,30.80597014925373
67,30.970588235294116
68,31.17391304347826
69,31.257142857142856
70,31.598591549295776
71,32.083333333333336
72,32.58904109589041
73,33.11486486486486
74,33.14666666666667
75,33.19736842105263
76,33.577922077922075
77,33.63461538461539
78,34.29746835443038
79,34.45
80,34.358024691358025
81,35.646341463414636
82,35.855421686746986
83,35.964285714285715
84,35.87647058823529
85,35.843023255813954
86,36.56896551724138
87,36.63636363636363
88,36.89325842696629
89,37.22222222222222
90,37.23076923076923
91,37.83152173913044
92,38.46774193548387
93,38.43617021276596
94,38.55263157894737
95,38.854166666666664
96,39.04123711340206
97,39.11734693877551
98,38.95454545454545
99,39.04
100,39.15
101,38.885
102,39.085
103,39.25
104,39.51
105,39.795
106,39.965
107,40.165
108,40.225
109,40.53
110,40.835
111,40.995
112,41.425
113,41.36
114,41.885
115,42.105
116,42.165
117,42.26
118,42.84
119,43.2
120,43.515
121,43.945
122,44.395
123,44.65
124,44.99
125,45.945
126,46.3
127,46.365
128,46.83
129,46.985
130,46.97
131,47.385
132,47.485
133,48.005
134,48.31
135,48.46
136,48.99
137,49.635
138,50.17
139,50.335
140,50.585
141,50.67
142,50.975
143,51.33
144,52.22
145,52.89
146,53.565
147,54.0
148,53.985
149,54.28
150,55.46
151,56.115
152,57.075
153,57.86
154,58.22
155,58.365
156,59.645
157,60.87
158,61.19
159,61.16
160,61.675
161,61.94
162,62.365
163,62.87
164,64.15
165,64.49
166,65.1
167,65.055
168,65.675
169,65.97
170,66.095
171,66.41
172,66.805
173,66.785
174,67.74
175,68.44
176,68.485
177,68.995
178,68.48
179,69.255
180,69.675
181,69.035
182,69.43
183,69.875
184,70.825
185,71.36
186,71.025
187,72.485
188,72.455
189,72.985
190,73.305
191,73.11
192,73.08
193,73.69
194,74.05
195,74.125
196,75.08
197,75.37
198,76.225
199,76.74
200,77.635
201,78.255
202,78.99
203,79.37
204,79.535
205,79.32
206,79.79
207,80.655
208,80.915
209,81.01
210,81.855
211,81.955
212,82.085
213,82.84
214,83.41
215,84.02
216,84.45
217,84.68
218,85.055
219,85.325
220,86.005
221,86.68
222,87.35
223,88.365
224,88.88
225,89.19
226,89.3
227,90.1
228,90.26
229,90.285
230,90.845
231,90.885
232,91.53
233,91.99
234,92.14
235,92.655
236,92.735
237,92.935
238,93.075
239,93.45
240,94.715
241,95.92
242,96.385
243,97.02
244,96.775
245,97.395
246,97.195
247,98.295
248,98.52
249,98.97
250,98.445
251,99.14
252,99.115
253,99.51
254,100.79
255,101.82
256,101.08
257,100.92
258,101.18
259,102.39
260,102.305
261,103.39
262,103.645
263,103.535
264,102.94
265,103.45
266,103.815
267,104.965
268,105.17
269,105.83
270,106.195
271,106.32
272,106.275
273,106.355
274,106.305
275,106.465
276,106.985
277,107.205
278,107.985
279,108.265
280,109.815
281,110.095
282,110.17
283,110.725
284,111.085
285,112.01
286,112.605
287,112.065
288,112.65
289,112.825
290,113.16
291,113.705
292,114.135
293,114.315
294,115.23
295,115.72
296,115.415
297,115.585
298,116.07
299,116.275
300,116.55
301,116.935
302,117.48
303,118.265
304,119.79
305,120.785
306,121.62
307,122.025
308,122.4
309,123.045
310,122.965
311,123.44
312,124.205
313,124.63
314,124.715
315,124.89
316,125.755
317,126.275
318,126.56
319,127.365
320,126.945
321,127.18
322,127.22
323,127.395
324,127.855
325,128.27
326,129.215
327,129.25
328,129.51
329,130.315
330,131.285
331,132.045
332,132.615
333,132.805
334,133.405
335,133.47
336,133.775
337,134.01
338,135.22
339,135.87
340,135.395
341,135.375
342,136.21
343,136.425
344,137.44
345,137.595
346,138.305
347,137.73
348,138.05
349,138.0
350,138.83
351,139.05
352,139.805
353,139.725
354,139.59
355,140.15
356,140.67
357,140.94
358,141.71
359,142.075
360,142.11
361,141.81
362,142.08
363,142.455
364,142.62
365,142.215
366,143.75
367,143.91
368,144.295
369,144.465
370,144.92
371,145.095
372,146.06
373,146.695
374,147.05
375,147.375
376,148.97
377,149.54
378,150.705
379,150.705
380,149.875
381,150.22
382,150.73
383,150.44
384,150.245
385,150.665
386,150.785
387,151.77
388,152.47
389,152.61
390,153.225
391,153.365
392,153.45
393,153.75
394,153.24
395,153.405
396,153.475
397,153.715
398,153.435
399,153.865
400,154.21
401,154.47
402,154.785
403,154.68
404,154.08
405,154.7
406,154.905
407,154.785
408,155.61
409,156.24
410,156.725
411,158.63
412,158.54
413,158.84
414,158.805
415,159.17
416,158.88
417,159.27
418,159.91
419,160.275
420,161.39
421,161.395
422,161.475
423,161.235
424,161.67
425,161.1
426,160.905
427,161.135
428,162.34
429,162.345
430,162.51
431,162.53
432,162.18
433,162.385
434,162.76
435,163.17
436,164.37
437,164.53
438,164.34
439,164.59
440,165.34
441,165.69
442,165.39
443,166.535
444,166.405
445,167.375
446,167.54
447,167.68
448,168.29
449,168.815
450,169.215
451,169.24
452,168.38
453,170.23
454,170.065
455,169.82
456,171.16
457,171.225
458,171.29
459,171.355
460,171.52
461,172.085
462,172.345
463,173.03
464,173.495
465,174.68
466,173.915
467,174.375
468,175.11
469,175.24
470,175.595
471,176.57
472,176.26
473,177.95
474,178.945
475,179.225
476,178.175
477,178.205
478,177.745
479,177.425
480,177.79
481,179.61
482,180.86
483,182.495
484,183.13
485,182.375
486,182.54
487,182.195
488,181.93
489,182.635
490,182.585
491,182.74
492,183.035
493,184.575
494,185.095
495,186.34
496,188.145
497,188.85
498,189.43
499,189.96
500,190.16
501,191.22
502,191.225
503,191.845
504,191.745
505,192.76
506,192.37
507,192.62
508,192.69
509,193.09
510,193.395
511,192.445
512,193.585
513,193.62
514,193.975
515,194.23
516,194.715
517,195.835
518,196.08
519,195.41
520,196.625
521,196.59
522,196.955
523,197.28
524,197.015
525,197.98
526,198.4
527,198.655
528,198.395
529,200.77
530,201.03
531,201.9
532,203.27
533,203.93
534,204.285
535,204.16
536,203.39
537,204.295
538,203.735
539,203.905
540,203.81
541,204.185
542,204.135
543,203.615
544,203.47
545,203.255
546,203.71
547,204.505
548,204.62
549,204.715
550,204.68
551,204.955
552,205.225
553,203.8
